Tid,Kilopris_Fersk,Vekt_Fersk,Frosen oppalen laks_Kilopris (kr),Frosen oppalen laks_Vekt (tonn)
2006U04,11675.0,9512.0,11766.0,13015.0
2006U05,11511.0,12923.0,11698.0,10617.0
2006U06,15060.0,12567.0,16797.0,16605.0
2006U07,17377.0,18125.0,18421.0,19201.0
2006U08,21986.0,18177.0,20669.0,22624.0
2006U09,24242.0,21367.0,26416.0,25506.0
2006U10,28673.0,27899.0,26543.0,29238.0
2006U11,25561.0,25180.0,25749.0,24910.0
2006U12,22825.0,23871.0,25376.0,23333.0
2006U13,25658.0,25742.0,9134.0,22450.0
2006U14,15939.0,11364.0,15564.0,17325.0
2006U15,15184.0,16370.0,15536.0,15966.0
2006U16,17116.0,18067.0,31.12,30.98
2006U17,30.95,31.03,32.53,31.3
2006U18,32.19,32.46,32.0,32.04
2006U19,33.77,33.29,34.61,34.11
2006U20,34.45,34.12,37.69,35.56
2006U21,37.32,37.94,34.63,35.4
2006U22,34.39,34.0,36.0,35.33
2006U23,35.33,35.23,35.86,35.31
2006U24,35.44,36.09,33.46,34.07
2006U25,30.65,32.03,29.33,29.51
2006U26,28.44,29.18,27.01,27.76
2006U27,27.22,27.13,26.88,27.2
2006U28,26.43,26.65,27.6,26.71
2006U29,28.35,27.93,27.32,28.04
2006U30,26.16,26.58,26.73,26.27
2006U31,27.15,26.85,28.0,27.44
2006U32,28.08,28.09,26.98,27.21
2006U33,27.79,27.77,27.46,27.77
2006U34,27.28,27.36,27.12,27.13
2006U35,26.75,27.07,26.97,27.03
2006U36,26.19,26.69,26.2,26.31
2006U37,26.71,26.32,26.02,26.05
2006U38,25.92,25.91,25.15,25.66
2006U39,24.55,25.08,24.43,24.66
2006U40,23.28,23.98,23.09,23.5
2006U41,22.95,23.22,22.8,22.71
2006U42,22.75,22.86,22.51,23.21
2006U43,22.96,22.28,22.28,22.65
2006U44,22.65,22.39,23.05,22.73
2006U45,23.94,23.57,24.04,23.79
2006U46,24.03,23.87,23.97,23.96
2006U47,24.7,24.0,24.75,25.21
2006U48,23.63,24.24,23.18,23.44
2006U49,22.7,22.82,22.93,22.8
2006U50,24.1,23.25,24.22,24.05
2006U51,23.37,23.48,23.55,23.71
2006U52,23.74,23.85,23.22,23.68
2007U01,23.09,22.93,22.62,22.78
2007U02,21.94,22.47,23.0,22.45
2007U03,23.5,23.39,23.19,22.93
2007U04,22.51,22.78,22.62,22.68
2007U05,22.99,22.97,23.14,22.52
2007U06,23.05,22.91,23.5,23.44
2007U07,22.69,22.84,22.67,22.95
2007U08,22.4,22.43,21.35,22.2
2007U09,19.43,19.27,18.6,18.76
2007U10,17.46,17.67,18.07,18.26
2007U11,18.05,18.09,18.81,18.48
2007U12,20.41,19.65,21.17,20.86
2007U13,22.21,21.78,22.6,22.67
2007U14,21.72,22.58,20.47,21.03
2007U15,21.22,20.66,21.24,21.24
2007U16,20.9,20.61,22.09,22.06
2007U17,21.93,22.25,22.71,21.86
2007U18,23.26,23.3,23.2,23.05
2007U19,24.35,23.77,24.88,24.73
2007U20,24.99,25.1,24.82,25.08
2007U21,23.81,24.37,23.22,23.71
2007U22,22.06,22.91,21.61,21.61
2007U23,21.06,21.25,21.73,21.25
2007U24,23.43,22.46,22.83,23.45
2007U25,22.08,22.39,22.51,22.29
2007U26,22.04,22.47,21.37,21.46
2007U27,20.46,20.86,19.94,20.11
2007U28,20.47,20.44,21.79,21.06
2007U29,23.67,22.88,23.29,23.57
2007U30,22.87,22.67,24.5,23.75
2007U31,24.98,24.99,24.86,25.05
2007U32,24.33,24.44,25.22,25.13
